tconst,originalTitle,weightedAverageScales,soup
tt0004972,The Birth of a Nation,0.6576100416767596,drama history war nm0000428 nm0001273 nm0550615 nm0910400 nm0178270 nm0017488
tt0006206,Les vampires,0.7274862506830325,action adventure crime nm0275421 nm0615736 nm0559013 nm0529695 nm0043923 nm0380742
tt0006864,Intolerance: Love's Struggle Throughout the Ages,0.7907276978504892,drama history nm0000428 nm0001273 nm0366008 nm0550615 nm0877548
tt0009968,Broken Blossoms or The Yellow Man and the Girl,0.7403759945686607,drama romance nm0000428 nm0001273 nm0001932 nm0187981 nm0397126 nm0081361
tt0010323,Das Cabinet des Dr. Caligari,0.8476548580349187,horror mystery thriller nm0927468 nm0470328 nm0891998 nm0270415 nm0196820 nm0903145
tt0011130,Dr. Jekyll and Mr. Hyde,0.7071427368122086,drama horror sci-fi nm0731910 nm0000858 nm0543806 nm0403582 nm0485274
tt0011237,"Der Golem, wie er in die Welt kam",0.7339947991802555,fantasy horror nm0917467 nm0091380 nm0917467 nm0826210 nm0222074
tt0011841,Way Down East,0.729967349785299,drama romance nm0000428 nm0001273 nm0001932 nm0484472 nm0792514 nm0570639
tt0012349,The Kid,0.8744533997097887,comedy drama family nm0000122 nm0000122 nm0701012 nm0001067 nm0588033 nm0042317
tt0012364,Körkarlen,0.8093552324722982,drama fantasy horror nm0803705 nm0803705 nm0096737 nm0841061 nm0391474 nm0782943
tt0012494,Der müde Tod,0.7522138887162749,drama fantasy horror nm0000485 nm0324553 nm0196820
tt0012532,Orphans of the Storm,0.7277514611453981,drama history romance nm0000428 nm0001273 nm0321088 nm0771584 nm0521310 nm0256522
tt0013086,"Dr. Mabuse, der Spieler",0.7775904474743703,crime mystery thriller nm0000485 nm0459030 nm0250790 nm0919684 nm0002154
tt0013257,Häxan,0.7824701737148327,documentary fantasy horror nm0159725 nm0159725 nm0159770 nm0669922
tt0013427,Nanook of the North,0.7762032266582737,documentary nm0280904 nm1354245 nm0638725 nm0192066 nm0020180 nm4752207
tt0013442,"Nosferatu, eine Symphonie des Grauens",0.841567918772175,fantasy horror nm0003638 nm0775180 nm0334603 nm0903194 nm0775659 nm0774114
tt0014142,The Hunchback of Notre Dame,0.7250798637412701,drama horror romance nm0941637 nm0151606 nm0589105 nm0449908 nm0504476 nm0117479
tt0014341,Our Hospitality,0.789286987349176,comedy romance thriller nm0090007 nm0000036 nm0000036 nm0848231 nm0444172 nm0731247 nm0124287
tt0014358,The Pilgrim,0.7231272213076313,comedy western nm0000122 nm0000122 nm0701012 nm0152260
tt0014429,Safety Last!,0.8344367078163346,action comedy thriller nm0628345 nm0853130 nm0516001 nm0205192 nm0835128 nm0949927 nm0165051
tt0014538,Three Ages,0.7097283043878446,comedy nm0166836 nm0000036 nm0000036 nm0494993 nm0000891 nm0731247 nm0492890
tt0014624,A Woman of Paris: A Drama of Fate,0.7075212428956351,drama romance nm0000122 nm0701012 nm0312238 nm0588033 nm0461438 nm0294058
tt0015064,Der letzte Mann,0.8121979161016537,drama nm0003638 nm0417837 nm0217848 nm0384897 nm0476130 nm0007207
tt0015163,The Navigator,0.7700322838632131,action comedy romance nm0187981 nm0000036 nm0000036 nm0570230 nm0089162 nm0123548 nm0167320
tt0015174,Die Nibelungen: Kriemhilds Rache,0.7572587722753124,adventure drama fantasy nm0000485 nm0778159 nm0036459 nm0519765 nm0611052 nm0084430
tt0015175,Die Nibelungen: Siegfried,0.7819785161495435,adventure drama fantasy nm0000485 nm0725332 nm0778159 nm0519765 nm0036459 nm0707765
tt0015324,Sherlock Jr.,0.864703852649444,action comedy romance nm0000036 nm0000036 nm0570230 nm0444172
tt0015361,Stachka,0.7615110734279424,drama nm0001178 nm0017893 nm0795500 nm0327150 nm0412045 nm0460314
tt0015400,The Thief of Bagdad,0.7600343572420826,adventure family fantasy nm0909825 nm0001196 nm0426710 nm0250366 nm0067634 nm0436787
tt0015532,Die Abenteuer des Prinzen Achmed,0.7658128743590289,adventure animation family nm0718201 nm0002569 nm0718201 nm0954632
tt0015624,The Big Parade,0.774498817944263,drama romance war nm0896542 nm0384276 nm0318105 nm0012395 nm0098376 nm0568282 nm0010845
tt0015648,Bronenosets Potyomkin,0.8360100392477865,drama history thriller nm0001178 nm0031446 nm0058290 nm0017893 nm0090434 nm0327150
tt0015841,The Freshman,0.7426066842578728,comedy family romance nm0628345 nm0853130 nm0516001 nm0707814 nm0070757 nm0026849 nm0444753
tt0015864,The Gold Rush,0.8631107325850393,adventure comedy drama nm0000122 nm0000122 nm0841501 nm0615306 nm0074788 nm0906618
tt0015881,Greed,0.7985089034328796,drama thriller western nm0002233 nm0332998 nm0686032 nm0380965 nm0298202 nm0683114
tt0016039,The Lost World,0.712228712347582,adventure fantasy horror nm0398464 nm0000891 nm0522281 nm0400763 nm0832011 nm0071582
tt0016220,The Phantom of the Opera,0.7785792220510616,horror nm0432216 nm0151606 nm0480677 nm0781292 nm0151606 nm0679907 nm0449908 nm0136886 nm0332998
tt0016332,Seven Chances,0.7870300408149542,comedy romance nm0000036 nm0000036 nm0245536 nm0055797 nm0250366 nm0713259
tt0016641,Ben-Hur A Tale of the Christ,0.7719187300905097,action adventure drama nm0629243 nm0102643 nm0127511 nm0169905 nm0002271 nm0003895 nm0124279 nm0564219 nm0111503 nm0568282
tt0016847,Faust: Eine deutsche Volkssage,0.8236656897594367,drama fantasy horror nm0003638 nm0252472 nm0417837 nm0394806 nm0723801 nm0226189
tt0017075,The Lodger: A Story of the London Fog,0.7525633828991803,crime drama mystery nm0000033 nm0385062 nm0637040 nm0042083 nm0156241 nm0444602
tt0017136,Metropolis,0.8869994518096052,drama sci-fi nm0000485 nm0375609 nm0002154 nm0297054
tt0017765,College,0.7052335139360614,comedy drama sport nm0395023 nm0000036 nm0000036 nm0180465 nm0104238 nm0329467 nm0250366
tt0017925,The General,0.8614490072558642,action adventure comedy nm0115669 nm0000036 nm0000036 nm0533045 nm0147070 nm0267650 nm0089162
tt0018037,The Jazz Singer,0.6811009793434908,drama music musical nm0189076 nm0427231 nm0564219 nm0645941 nm0078806 nm0496470
tt0018192,Napoléon vu par Abel Gance,0.8033594349001728,biography drama history nm0304098 nm0226387 nm0745565 nm0885965 nm0467916 nm0037625
tt0018217,Oktyabr,0.7472505720548052,drama history nm0017893 nm0001178 nm0515104 nm3640809 nm0631634 nm0493491 nm1304457
tt0018455,Sunrise: A Song of Two Humans,0.8538987961158193,drama romance nm0003638 nm0639563 nm0310980 nm0515272 nm0743017 nm0531759
tt0018528,The Unknown,0.7706143195467422,drama horror romance nm0115218 nm0151606 nm0449908 nm0001076 nm0211346 nm0313478
tt0018578,Wings,0.7705062472496385,action drama romance nm0920074 nm0195496 nm0001966 nm0736777 nm0035159 nm0707814 nm0107151
tt0018737,Die Büchse der Pandora,0.7874074736932819,crime drama romance nm0655065 nm0000315 nm0466776 nm0496473 nm0324501 nm0469172
tt0018742,The Cameraman,0.8067974541438055,comedy drama family nm0781292 nm0000036 nm0000036 nm0206496 nm0329467 nm0102718 nm0340807
tt0018773,The Circus,0.8462856500000933,comedy family romance nm0000122 nm0000122 nm0448224 nm0305087 nm0188357 nm0204639
tt0018806,The Crowd,0.798502709522335,drama romance nm0896542 nm0090187 nm0615014 nm0729991 nm0163923 nm0866834
tt0018839,The Docks of New York,0.7359799392260591,crime drama film-noir nm0903049 nm0051628 nm0173993 nm0045754 nm0176971 nm0507568
